lfd.Nr;Paket;Version;Plattform;Kapitel;Status;Level
1;rscproxy;1.3-1;Windows;2;verwendet;Voraussetzung
2;rcom;2.2-3.1;Windows;2;verwendet;Übungen
3;RExcelInstaller;3.1-8;Windows;2;verwendet;Übungen
4;foreach;1.3.0;R;6;verwendet;Voraussetzung
5;iterators;1.0.3;R;6;verwendet;Übungen
6;multicore;0.1-3;R;11;verwendet;Voraussetzung
7;doMC;1.2.1;R;11;verwendet;Übungen
8;RODBC;1.3-2;R;12;verwendet;Übungen
9;DBI;0.2-5;R;12, 13, 16, 20;verwendet;Voraussetzung
10;RSQLite;0.9-4;R;12, 13, 16, 20;verwendet;Übungen
11;Hmisc;3.8-3;R;15;verwendet;Übungen
12;car;2.0-2;R;20;verwendet;Übungen
13;mlbench;2.0-0;R;20;verwendet;Voraussetzung
14;ipred;0.8-8;R;20;verwendet;Übungen
15;lars;0.9-7;R;20;verwendet;Übungen
16;ks;1.6.13;R;20;verwendet;Voraussetzung
17;prim;1.0.8;R;20;erwähnt;Übungen
18;akima;0.5-4;R;20;erwähnt;Voraussetzung
19;gam;1.03;R;20;erwähnt;Übungen
20;modeltools;0.2-16;R;20;verwendet;Voraussetzung
21;mvtnorm;0.9-92;R;20;verwendet;Voraussetzung
22;coin;1.0-14;R;20;verwendet;Voraussetzung
23;zoo;1.6-4;R;20;verwendet;Voraussetzung
24;sandwich;2.2-6;R;20;verwendet;Voraussetzung
25;strucchange;1.4-1;R;20;verwendet;Voraussetzung
26;colorspace;1.0-1;R;20;verwendet;Voraussetzung
27;vcd;1.2-8;R;20;verwendet;Voraussetzung
28;party;0.9-9997;R;20;verwendet;Voraussetzung
29;mboost;2.0-7;R;20;verwendet;Übungen
30;randomForest;4.5-36;R;20, 21;verwendet;Übungen
31;plotrix;3.0-0;R;20;verwendet;Voraussetzung
32;leaps;2.9-0;R;20;verwendet;Voraussetzung
33;earth;2.4-4;R;20;verwendet;Übungen
34;e1071;1.5-24;R;20, 21;verwendet;Übungen
35;lpSolve;5.6.5;R;20;verwendet;Voraussetzung
36;sampling;2.3-0;R;21, 24;verwendet;Übungen
37;mda;0.4-1;R;21;verwendet;Übungen
38;maptree;1.4-6;R;21;verwendet;Übungen
39;adabag;1.1-0;R;21;verwendet;Übungen
40;ada;2.0-2;R;21;verwendet;Übungen
41;arules;1.0-2;R;22;verwendet;Übungen
42;Biobase;2.8.0;R;24;verwendet;Übungen
43;affy;;R;24;verwendet;Übungen
44;simpleaffy;;R;24;verwendet;Übungen
45;vsn;;R;24;verwendet;Übungen
46;GEOquery;;R;24;verwendet;Übungen
47;genefilter;;R;24;verwendet;Übungen
48;rbsurv;;R;24;verwendet;Übungen
49;annotate;;R;24;verwendet;Übungen
50;annaffy;;R;24;verwendet;Übungen
